SwitchPairsDijkstra1000
31093
31084
30877
31111
31192
31489
31174
31138
31228
31525
30814
31129
31399
31444
30796
31642
31012
31075
31363
31120
31210
30832
30931
31120
31669
31003
31210
31669
31588
30985
31723
31408
31282
31696
30895
31129
31138
31264
31030
31354
30868
30886
31462
31462
31372
31228
31633
31345
30940
31291
31660
31066
31030
31273
31228
31327
30976
31003
31336
31003
31111
31498
31372
31273
31039
31588
31201
31102
31453
31417
31399
31174
31030
31363
31426
31264
31390
30958
31399
30985
31093
31300
30994
31309
31336
31057
31246
31381
31138
31012
31165
30913
31525
31021
31066
31075
31165
31390
30904
31147
31291
31543
31417
31561
31264
31462
31273
30904
31192
31246
31732
31147
31417
31498
31408
31399
30922
30958
31102
31201
31489
30886
31300
30913
31318
31165
30778
31228
30949
31237
30994
31453
31696
30904
31408
31147
31192
30967
31084
31147
31183
31219
30994
31120
31066
31165
31174
31084
31381
31336
31588
30985
31642
31516
31516
31066
31246
31075
31291
31318
31210
31138
31174
31597
31048
30976
31084
31489
30913
31066
31057
31480
31354
30958
30994
31192
30940
31264
31282
31264
31417
31246
31507
30967
31849
30922
31111
31372
31066
31300
31507
30895
31057
30913
31093
31498
30922
31327
31084
30976
31300
31264
30949
31048
31615
31156
31795
31075
31120
31183
31102
30913
31201
31210
31003
31372
31048
31309
31102
31183
30715
31030
31165
30787
31426
30922
30967
31147
31462
31327
30967
31030
31174
31363
30886
31093
31066
31165
30913
31372
30796
31093
30877
30949
31354
31372
31318
31111
31264
31453
30940
31111
31687
31066
31282
31129
31039
30706
31201
30940
31687
31075
31264
31156
31201
30895
30985
31030
31651
30868
31192
30913
31165
31426
31129
30958
31093
31318
31273
31012
31309
31210
31273
31048
31066
31075
31021
31273
31012
31435
31093
31228
31228
30904
31066
31408
31399
30913
30805
31327
30895
30778
31318
31426
31507
31075
31579
31453
31885
30598
31084
30508
30958
31417
31012
31057
31111
31012
31336
31120
31156
31345
31597
31039
31210
31111
31219
31327
31345
31300
31183
31192
31102
30814
31768
31156
31048
31201
31174
31237
31174
31318
31318
31273
31300
31381
30778
31264
30751
31093
30814
30940
31498
31516
30958
31084
31003
31138
30994
31165
31372
30985
31147
31588
30814
31300
30958
31246
30742
31174
30922
30976
31399
30994
30985
31390
31120
31201
31201
31147
31291
30904
30697
30985
31039
31219
31201
31588
30967
31282
31372
31003
31354
